analysis-full.txt 
  Dbar: 69.96769
  Dhat: -61.70544
    pD: 131.6731
   DIC: 201.6408



 analysis-full.txt results...Inference for Bugs model at "analysis-full.txt", fit using jags,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                           mu.vect sd.vect    2.5%    25%    50%    75%   97.5%  Rhat n.eff
                  alpha.pink.elev    -6.460   -0.150*
             alpha.pink.fecundity    -1.987    4.090
           alpha.pink.fl.per.head    -2.293    3.993
                alpha.pink.infest    -5.097    0.741
                  alpha.pink.long    -6.272   -0.451*
                   alpha.pink.map    -3.164    2.133
             alpha.pink.seed.mass    -3.031    4.504
                  alpha.poly.0[1]    -5.678    3.484
                  alpha.poly.0[2]    -4.750    4.148
                  alpha.poly.elev    -4.195    2.535
             alpha.poly.fecundity    -3.392    3.566
           alpha.poly.fl.per.head    -2.962    4.063
                alpha.poly.infest    -3.824    3.161
                  alpha.poly.long    -3.757    2.970
                   alpha.poly.map    -2.866    3.581
             alpha.poly.seed.mass    -1.274    6.861
           beta.fecundity.elev[1]    -0.611    0.941
           beta.fecundity.elev[2]    -0.004    0.603
           beta.fecundity.long[1]    -0.998    0.381
           beta.fecundity.long[2]    -0.427    0.039
            beta.fecundity.map[1]    -0.420    0.542
            beta.fecundity.map[2]     0.146    0.897*
         beta.fl.per.head.elev[1]    -0.585    1.113
         beta.fl.per.head.elev[2]    -0.053    0.629
         beta.fl.per.head.long[1]    -0.959    0.577
         beta.fl.per.head.long[2]    -0.098    0.425
          beta.fl.per.head.map[1]    -0.559    0.505
          beta.fl.per.head.map[2]    -0.158    0.686
              beta.infest.elev[1]    -0.682    1.995
              beta.infest.elev[2]    -0.688    0.303
         beta.infest.fecundity[1]    -3.826    0.794
         beta.infest.fecundity[2]    -1.030    0.528
       beta.infest.fl.per.head[1]    -3.546    1.605
       beta.infest.fl.per.head[2]    -0.175    1.277
              beta.infest.long[1]    -2.084    0.501
              beta.infest.long[2]    -0.485    0.365
               beta.infest.map[1]    -0.292    1.159
               beta.infest.map[2]    -0.808    0.477
         beta.infest.seed.mass[1]    -2.140    4.895
         beta.infest.seed.mass[2]    -0.309    1.194
                 beta.pink.0[1,1]    -9.897    4.716
                 beta.pink.0[1,2]    -9.856    5.252
                 beta.pink.0[1,3]   -10.126    5.291
                 beta.pink.0[1,4]    -6.060    5.139
                 beta.pink.0[2,1]    -8.889    4.726
                 beta.pink.0[2,2]    -8.348    5.799
                 beta.pink.0[2,3]    -8.590    6.447
                 beta.pink.0[2,4]    -7.605    4.268
                 beta.pink.0[3,1]    -1.531   12.335
                 beta.pink.0[3,2]    -3.035   11.875
                 beta.pink.0[3,3]    -5.742    9.124
                 beta.pink.0[3,4]     0.037   10.385*
                 beta.pink.0[4,1]    -2.456   12.726
                 beta.pink.0[4,2]    -3.375   12.327
                 beta.pink.0[4,3]    -2.463   12.924
                 beta.pink.0[4,4]     0.908   13.127*
              beta.pink.elev[1,1]    -9.617    2.867
              beta.pink.elev[1,2]    -6.091    3.347
              beta.pink.elev[2,1]   -10.905   -0.424*
              beta.pink.elev[2,2]   -10.500   -0.652*
              beta.pink.elev[3,1]   -10.402    1.637
              beta.pink.elev[3,2]   -10.665   -1.705*
              beta.pink.elev[4,1]    -8.024    4.511
              beta.pink.elev[4,2]    -7.169    3.642
         beta.pink.fecundity[1,1]    -2.645    9.614
         beta.pink.fecundity[1,2]    -4.724    3.427
         beta.pink.fecundity[2,1]    -2.595    7.988
         beta.pink.fecundity[2,2]    -3.809    5.672
         beta.pink.fecundity[3,1]    -5.267    6.044
         beta.pink.fecundity[3,2]    -3.674    4.568
         beta.pink.fecundity[4,1]    -7.253    5.248
         beta.pink.fecundity[4,2]    -2.343    8.754
       beta.pink.fl.per.head[1,1]    -5.615    5.735
       beta.pink.fl.per.head[1,2]     1.118   10.487*
       beta.pink.fl.per.head[2,1]    -3.575    5.713
       beta.pink.fl.per.head[2,2]    -6.189    4.923
       beta.pink.fl.per.head[3,1]    -7.825    2.009
       beta.pink.fl.per.head[3,2]    -3.489    8.110
       beta.pink.fl.per.head[4,1]    -4.239    7.538
       beta.pink.fl.per.head[4,2]    -5.788    6.978
            beta.pink.infest[1,1]    -5.525    5.570
            beta.pink.infest[1,2]    -4.421    3.295
            beta.pink.infest[2,1]   -10.033   -0.690*
            beta.pink.infest[2,2]    -8.194    2.524
            beta.pink.infest[3,1]    -6.084    3.760
            beta.pink.infest[3,2]    -9.170   -0.369*
            beta.pink.infest[4,1]    -9.482    2.629
            beta.pink.infest[4,2]    -7.666    3.050
              beta.pink.long[1,1]    -8.189    4.605
              beta.pink.long[1,2]    -8.803    0.528
              beta.pink.long[2,1]   -10.586    0.868
              beta.pink.long[2,2]   -11.636   -2.000*
              beta.pink.long[3,1]   -10.188    0.655
              beta.pink.long[3,2]    -4.759    2.789
              beta.pink.long[4,1]    -9.563    3.107
              beta.pink.long[4,2]    -8.645   -0.621*
               beta.pink.map[1,1]    -7.208    3.482
               beta.pink.map[1,2]    -5.146    2.620
               beta.pink.map[2,1]    -3.786    2.778
               beta.pink.map[2,2]    -3.568    6.191
               beta.pink.map[3,1]    -2.784    4.772
               beta.pink.map[3,2]    -6.661    1.169
               beta.pink.map[4,1]    -5.059    5.710
               beta.pink.map[4,2]    -6.388    4.840
         beta.pink.seed.mass[1,1]    -3.445    9.834
         beta.pink.seed.mass[1,2]    -5.260    4.517
         beta.pink.seed.mass[2,1]    -6.054    6.753
         beta.pink.seed.mass[2,2]    -2.731    8.945
         beta.pink.seed.mass[3,1]    -5.628    7.080
         beta.pink.seed.mass[3,2]    -5.613    6.678
         beta.pink.seed.mass[4,1]    -7.871    5.541
         beta.pink.seed.mass[4,2]    -6.317    7.169
                 beta.poly.0[1,1]    -9.224    5.136
                 beta.poly.0[1,2]    -9.200    5.820
                 beta.poly.0[1,3]    -9.204    5.646
                 beta.poly.0[1,4]    -4.078    4.073
                 beta.poly.0[2,1]    -7.982    5.188
                 beta.poly.0[2,2]    -8.256    5.337
                 beta.poly.0[2,3]    -5.827    8.807
                 beta.poly.0[2,4]    -4.251    4.112
              beta.poly.elev[1,1]    -7.535    4.794
              beta.poly.elev[1,2]    -3.681    2.400
              beta.poly.elev[2,1]    -7.779    1.655
              beta.poly.elev[2,2]    -2.213    3.570
         beta.poly.fecundity[1,1]    -3.602    8.506
         beta.poly.fecundity[1,2]    -6.059    1.643
         beta.poly.fecundity[2,1]    -5.131    5.247
         beta.poly.fecundity[2,2]    -3.273    3.103
       beta.poly.fl.per.head[1,1]    -6.065    5.547
