Full model...
   DIC: 293.735
    pD: 70.171

                Dbar	Dhat	pD	DIC	
fecundity	33.816	22.760	11.055	44.871	
fl.per.head	42.707	31.878	10.829	53.536	
infest	        57.983	43.160	14.822	72.805	
pink	        22.935	10.255	12.680	35.614	
poly	        31.711	21.967	9.744	41.456	
seed.mass	34.413	23.373	11.040	45.453	
total	        223.564	153.394	70.171	293.735	


Full model results...Inference for Bugs model at "analysis-alt.txt", fit using WinBUGS,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                              mean     sd    2.5%     25%     50%     75%   97.5%  Rhat n.eff
beta.pink.long[4,2]         -4.337  2.319  -9.003  -5.873  -4.288  -2.780   0.101 1.001 15000
beta.pink.map[1,1]          -0.891  2.859  -6.636  -2.800  -0.851   1.058   4.586 1.001 25000
beta.pink.map[1,2]          -0.466  2.318  -4.965  -2.015  -0.491   1.052   4.217 1.001 25000
beta.pink.map[2,1]          -0.262  2.234  -4.636  -1.752  -0.299   1.217   4.201 1.001  7800
beta.pink.map[2,2]           2.387  2.777  -3.002   0.541   2.357   4.215   7.942 1.001 15000
beta.pink.map[3,1]           0.939  2.337  -3.567  -0.637   0.902   2.453   5.642 1.001 11000
beta.pink.map[3,2]          -0.508  2.419  -5.280  -2.108  -0.525   1.092   4.326 1.001 12000
beta.pink.map[4,1]           1.067  2.872  -4.583  -0.851   1.034   2.963   6.783 1.001 25000
beta.pink.map[4,2]          -0.028  2.881  -5.689  -1.991   0.003   1.882   5.617 1.001 11000
beta.pink.elev[1,1]         -0.977  3.250  -7.368  -3.167  -0.971   1.206   5.367 1.001 12000
beta.pink.elev[1,2]          1.661  2.463  -3.215   0.028   1.663   3.309   6.482 1.001 22000
beta.pink.elev[2,1]         -2.774  2.955  -8.591  -4.738  -2.762  -0.833   3.093 1.001 11000
beta.pink.elev[2,2]         -3.629  2.635  -8.950  -5.359  -3.578  -1.852   1.429 1.001 12000
beta.pink.elev[3,1]         -2.035  3.122  -8.225  -4.120  -2.008   0.099   4.037 1.001  5300
beta.pink.elev[3,2]         -2.846  2.545  -7.952  -4.543  -2.812  -1.140   2.037 1.001 17000
beta.pink.elev[4,1]          0.116  3.352  -6.418  -2.124   0.097   2.376   6.708 1.001 25000
beta.pink.elev[4,2]          0.692  2.788  -4.723  -1.198   0.700   2.571   6.152 1.001 18000
beta.pink.0[1,1]            -3.477  3.803 -11.060  -5.999  -3.443  -0.897   3.924 1.001 15000
beta.pink.0[1,2]            -3.194  3.901 -10.930  -5.784  -3.149  -0.562   4.401 1.001 22000
beta.pink.0[1,3]            -3.045  3.988 -10.900  -5.699  -3.026  -0.344   4.716 1.001 25000
beta.pink.0[1,4]            -3.122  3.147  -9.425  -5.220  -3.073  -0.982   2.906 1.001 10000
beta.pink.0[2,1]            -1.848  3.592  -8.928  -4.256  -1.836   0.590   5.148 1.001 10000
beta.pink.0[2,2]            -1.017  3.740  -8.310  -3.525  -1.050   1.489   6.350 1.001 25000
beta.pink.0[2,3]            -1.194  3.883  -8.817  -3.837  -1.190   1.430   6.429 1.001  9000
beta.pink.0[2,4]            -1.626  2.970  -7.483  -3.615  -1.610   0.365   4.186 1.001 21000
beta.pink.0[3,1]             3.572  3.721  -3.699   1.071   3.527   6.084  10.870 1.001 16000
beta.pink.0[3,2]             2.890  3.853  -4.755   0.318   2.918   5.496  10.450 1.001 25000
beta.pink.0[3,3]             0.657  3.848  -6.917  -1.924   0.672   3.222   8.257 1.001 20000
beta.pink.0[3,4]             2.399  2.954  -3.340   0.406   2.383   4.375   8.213 1.001 17000
beta.pink.0[4,1]             4.162  4.003  -3.629   1.486   4.147   6.826  11.970 1.001 10000
beta.pink.0[4,2]             3.718  4.125  -4.284   0.927   3.700   6.492  11.890 1.001 16000
beta.pink.0[4,3]             4.500  4.023  -3.357   1.780   4.465   7.228  12.370 1.001 11000
beta.pink.0[4,4]             5.227  3.438  -1.494   2.927   5.177   7.538  12.050 1.001  8400
beta.infest.fecundity[1]    -2.173  1.312  -4.540  -3.007  -2.260  -1.457   0.860 1.020   220
beta.infest.fecundity[2]    -0.328  0.389  -1.101  -0.575  -0.328  -0.085   0.455 1.002  4000
beta.infest.fl.per.head[1]   0.468  1.317  -2.205  -0.414   0.507   1.386   2.966 1.008   440
beta.infest.fl.per.head[2]   0.855  0.706  -0.856   0.535   0.940   1.293   2.062 1.002  2400
beta.infest.seed.mass[1]     2.928  2.000  -1.075   1.672   2.935   4.264   6.684 1.010   490
beta.infest.seed.mass[2]     0.152  0.465  -0.798  -0.136   0.159   0.448   1.059 1.002  4500
beta.infest.long[1]          0.055  0.946  -1.771  -0.582   0.047   0.675   1.959 1.004  1000
beta.infest.long[2]         -0.228  0.333  -0.858  -0.439  -0.244  -0.033   0.491 1.002  2500
beta.infest.map[1]           0.539  0.412  -0.283   0.275   0.544   0.805   1.343 1.005   810
beta.infest.map[2]          -0.279  0.362  -0.989  -0.511  -0.282  -0.051   0.460 1.002  4100
beta.infest.elev[1]          1.199  0.631   0.025   0.794   1.180   1.583   2.508 1.005   970
beta.infest.elev[2]         -0.336  0.313  -0.948  -0.534  -0.343  -0.145   0.315 1.001  8300
eps.infest.species[1]        0.615  2.003  -3.287  -0.707   0.625   1.946   4.539 1.007   470
eps.infest.species[2]       -1.078  1.815  -4.422  -2.303  -1.173   0.027   2.881 1.013   270
eps.infest.species[3]       -2.104  2.547  -7.129  -3.811  -2.097  -0.413   2.932 1.005   700
eps.infest.species[4]        0.559  0.572  -0.671   0.226   0.584   0.922   1.647 1.002  3600
beta.fecundity.long[1]      -0.012  0.247  -0.510  -0.172  -0.008   0.153   0.465 1.002  4000
beta.fecundity.long[2]       0.393  0.189   0.014   0.273   0.394   0.515   0.764 1.001 25000
beta.fecundity.map[1]        0.053  0.380  -0.723  -0.191   0.058   0.303   0.789 1.001  7500
beta.fecundity.map[2]        0.229  0.134  -0.041   0.142   0.230   0.317   0.491 1.001  9900
beta.fecundity.elev[1]      -0.185  0.488  -1.136  -0.507  -0.192   0.133   0.799 1.002  3600
